null,0
(33.737, -118.2857),64
(33.737, -118.2879),267
(33.737, -118.2901),75
(33.737, -118.2923),112
(33.737, -118.2945),65
(33.737, -118.2967),44
(33.737, -118.2979),1
(33.737, -118.299),52
(33.737, -118.3012),20
(33.737, -118.3019),9
(33.737, -118.3034),60
(33.737, -118.3056),39
(33.737, -118.3077),38
(33.737, -118.3097),4
(33.7372, -118.317),1
(33.7373, -118.2636),1
(33.7374, -118.2804),1
(33.7374, -118.2857),4
(33.7375, -118.2654),1
(33.7375, -118.3151),3
(33.7375, -118.3183),2
(33.7376, -118.2835),1
(33.7378, -118.2799),4
(33.7378, -118.2804),15
(33.7378, -118.2814),22
(33.7378, -118.2835),107
(33.7379, -118.2719),10
(33.7379, -118.2857),64
(33.7379, -118.2879),110
(33.7379, -118.2882),1
(33.7379, -118.2901),62
(33.7379, -118.2923),199
(33.7379, -118.2945),42
(33.7379, -118.2967),26
(33.7379, -118.299),28
(33.7379, -118.3012),17
(33.7379, -118.3019),5
(33.7379, -118.3034),49
(33.7379, -118.3056),21
(33.7379, -118.3065),1
(33.7379, -118.3077),19
(33.7379, -118.3095),2
(33.7379, -118.3097),25
(33.7379, -118.3108),5
(33.7379, -118.3114),4
(33.7379, -118.3119),1
(33.7379, -118.3147),8
(33.738, -118.3117),1
(33.738, -118.3119),9
(33.7383, -118.2641),4
(33.7384, -118.3151),2
(33.7385, -118.2784),2
(33.7385, -118.3163),7
(33.7385, -118.3171),16
(33.7386, -118.2835),2
(33.7387, -118.2661),2
(33.7387, -118.272),1
(33.7387, -118.3118),4
(33.7388, -118.2623),1
(33.7388, -118.2791),4
(33.7388, -118.2793),4
(33.7388, -118.2799),26
(33.7388, -118.2804),16
(33.7388, -118.2814),149
(33.7388, -118.2835),230
(33.7388, -118.285),10
(33.7388, -118.2857),92
(33.7388, -118.2879),141
(33.7388, -118.289),4
(33.7388, -118.2901),122
(33.7388, -118.2923),161
(33.7388, -118.2945),53
(33.7388, -118.2948),1
(33.7388, -118.2967),10
(33.7388, -118.3174),9
(33.7389, -118.3095),1
(33.7389, -118.3097),2
(33.7391, -118.269),4
(33.7393, -118.3021),10
(33.7393, -118.3176),6
(33.7393, -118.3188),2
(33.7394, -118.2648),1
(33.7394, -118.3156),7
(33.7395, -118.2814),3
(33.7395, -118.313),15
(33.7396, -118.3136),10
(33.7397, -118.2835),44
(33.7397, -118.285),17
(33.7397, -118.2857),33
(33.7397, -118.2879),100
(33.7397, -118.2901),84
(33.7397, -118.2923),360
(33.7397, -118.2945),110
(33.7397, -118.3097),12
(33.74, -118.2668),2
(33.74, -118.313),7
(33.74, -118.3153),9
(33.74, -118.3176),7
(33.7403, -118.2814),198
(33.7403, -118.3021),4
(33.7404, -118.3174),7
(33.7405, -118.2794),2
(33.7405, -118.2796),2
(33.7405, -118.2797),56
(33.7405, -118.3099),5
(33.7405, -118.3117),4
(33.7406, -118.2835),29
(33.7406, -118.2857),31
(33.7406, -118.2879),72
(33.7406, -118.2882),1
(33.7406, -118.2901),62
(33.7406, -118.2923),102
(33.7406, -118.2945),57
(33.7406, -118.2967),7
(33.7407, -118.3021),5
(33.7407, -118.3043),1
(33.7408, -118.2678),7
(33.7408, -118.3125),11
(33.7408, -118.3193),3
(33.7409, -118.2784),4
(33.741, -118.2797),3
(33.741, -118.2838),96
(33.7412, -118.2924),104
(33.7413, -118.2643),1
(33.7413, -118.31),14
(33.7415, -118.266),1
(33.7415, -118.2796),16
(33.7415, -118.28),1
(33.7415, -118.2804),1
(33.7415, -118.2813),31
(33.7415, -118.2814),1
